# Crosswalk diputado -> distrito. INSUMO ESTATICO AUDITADO (decision D5).
# Generado por 50_documentacion/andamios/medir_fuente_territorio.R (fase gen).
# NO se regenera en el refresh semanal: 32_extraer_diputados.R solo LEE este archivo.
#
# Fuente: BCN. La llave persona<->diputado sale del endpoint SPARQL
#   https://datos.bcn.cl/sparql  predicado bcn-biographies#idCamaraDeDiputados,
#   que ES el id de la Camara. El distrito sale de la ficha 'Resenas
#   parlamentarias' (tabla Trayectoria Parlamentaria), fila del periodo 2026-2030.
#
# REGLA DE DESAMBIGUACION (materializada en las filas de abajo):
#   BCN reusa el mismo idCamaraDeDiputados en dos personas distintas en 4 casos
#   (un parlamentario historico y uno vigente). Entre los candidatos que comparten
#   id gana el que tiene fila del periodo vigente en su Trayectoria Parlamentaria.
#   ids afectados: 1159, 1175, 1209, 1252. La columna bcn_persona_id deja
#   trazable que persona quedo elegida en cada caso.
#
# Capturado el: 2026-07-24   |   Filas: 155   |   Distritos: 28   |   Escanos: 155
# diputado_id es character; distrito es integer 1-28.
diputado_id,distrito,bcn_persona_id,capturado_el,fuente
803,27,135,2026-07-24,BCN resenas parlamentarias
815,20,2861,2026-07-24,BCN resenas parlamentarias
843,23,1470,2026-07-24,BCN resenas parlamentarias
872,4,1782,2026-07-24,BCN resenas parlamentarias
915,17,3446,2026-07-24,BCN resenas parlamentarias
986,3,4534,2026-07-24,BCN resenas parlamentarias
1009,10,4604,2026-07-24,BCN resenas parlamentarias
1012,9,4560,2026-07-24,BCN resenas parlamentarias
1013,26,4552,2026-07-24,BCN resenas parlamentarias
1015,7,4572,2026-07-24,BCN resenas parlamentarias
1017,12,4558,2026-07-24,BCN resenas parlamentarias
1021,7,4546,2026-07-24,BCN resenas parlamentarias
1025,11,4561,2026-07-24,BCN resenas parlamentarias
1028,13,4598,2026-07-24,BCN resenas parlamentarias
1038,24,4609,2026-07-24,BCN resenas parlamentarias
1039,12,4628,2026-07-24,BCN resenas parlamentarias
1044,14,4585,2026-07-24,BCN resenas parlamentarias
1054,20,4600,2026-07-24,BCN resenas parlamentarias
1056,25,4553,2026-07-24,BCN resenas parlamentarias
1059,12,4618,2026-07-24,BCN resenas parlamentarias
1060,6,4625,2026-07-24,BCN resenas parlamentarias
1061,22,4547,2026-07-24,BCN resenas parlamentarias
1062,21,4565,2026-07-24,BCN resenas parlamentarias
1065,9,4570,2026-07-24,BCN resenas parlamentarias
1073,4,4624,2026-07-24,BCN resenas parlamentarias
1074,14,4578,2026-07-24,BCN resenas parlamentarias
1075,11,4617,2026-07-24,BCN resenas parlamentarias
1077,15,4629,2026-07-24,BCN resenas parlamentarias
1082,21,4549,2026-07-24,BCN resenas parlamentarias
1086,10,4602,2026-07-24,BCN resenas parlamentarias
1087,13,4622,2026-07-24,BCN resenas parlamentarias
1099,3,5192,2026-07-24,BCN resenas parlamentarias
1100,11,5203,2026-07-24,BCN resenas parlamentarias
1102,20,5252,2026-07-24,BCN resenas parlamentarias
1104,6,5218,2026-07-24,BCN resenas parlamentarias
1105,25,5215,2026-07-24,BCN resenas parlamentarias
1107,6,5219,2026-07-24,BCN resenas parlamentarias
1108,22,5237,2026-07-24,BCN resenas parlamentarias
1110,28,1274,2026-07-24,BCN resenas parlamentarias
1114,16,5254,2026-07-24,BCN resenas parlamentarias
1116,19,5260,2026-07-24,BCN resenas parlamentarias
1117,5,5205,2026-07-24,BCN resenas parlamentarias
1119,19,5258,2026-07-24,BCN resenas parlamentarias
1122,7,5230,2026-07-24,BCN resenas parlamentarias
1127,10,5264,2026-07-24,BCN resenas parlamentarias
