"n","momento","metodo","url","status","bytes","md5","etiqueta"
1,"2026-08-13T22:29:35","GET","https://opendata.camara.cl/camaradiputados/WServices/WSLegislativo.asmx/retornarCatalogoSufijosBoletin",500,93,"ac7c01b028626eea933d51beca61e78a","CN-a op fabricada en servicio real"
2,"2026-08-13T22:29:35","GET","https://opendata.camara.cl/camaradiputados/WServices/WSBoletines.asmx/retornarSufijos",200,1286,"a9066cc9274e6ceacab517188703042b","CN-b servicio fabricado 1"
3,"2026-08-13T22:29:35","GET","https://opendata.camara.cl/camaradiputados/WServices/WSNomenclatura.asmx/retornarCodigos",200,1286,"a9066cc9274e6ceacab517188703042b","CN-b servicio fabricado 2"
4,"2026-08-13T22:29:35","GET","https://www.camara.cl/legislacion/catalogo_sufijos_boletin_inventado.aspx",403,5483,"69dbce41d6d4d9a95f5a693c3d8d83c2","CN-c ruta fabricada en camara.cl"
5,"2026-08-13T22:29:35","GET","https://opendata.camara.cl/camaradiputados/WServices/WSLegislativo.asmx/retornarTramitesConstitucionales",200,705,"b6ba4efee951cf63f7d7cce7f5e9c75e","tramites constitucionales"
6,"2026-08-13T22:29:35","GET","https://opendata.camara.cl/camaradiputados/WServices/WSLegislativo.asmx/retornarTramitesReglamentarios",200,871,"564143b5b54b507a9edbbeffba2a7090","tramites reglamentarios"
7,"2026-08-13T22:29:35","GET","https://opendata.camara.cl/camaradiputados/WServices/WSComision.asmx/retornarComisionesVigentes",200,1588,"5015dfc582c8611f260aff9ff64a878a","comisiones vigentes"
8,"2026-08-13T22:29:35","GET","https://opendata.camara.cl/camaradiputados/WServices/WSComision.asmx/retornarComisionesXPeriodo?prmPeriodoId=11",200,1588,"5015dfc582c8611f260aff9ff64a878a","comisiones periodo 11"
9,"2026-08-13T22:29:35","GET","https://opendata.camara.cl/camaradiputados/WServices/WSComision.asmx/retornarComisionesXPeriodo?prmPeriodoId=10",200,99271,"583474a2cfa567183c80fd2ce5744de6","comisiones periodo 10"
10,"2026-08-13T22:29:35","GET","https://opendata.camara.cl/camaradiputados/WServices/WSLegislativo.asmx/retornarMaterias",200,836218,"466615863c967b45187d37c90603f357","retornarMaterias"
11,"2026-08-13T22:29:36","GET","https://opendata.camara.cl/camaradiputados/WServices/WSDiputado.asmx/retornarDiputados",200,644560,"77b5aac7ce0cb93274717edb3d42c124","retornarDiputados historico"
12,"2026-08-13T22:29:36","GET","https://www.camara.cl/comisiones/comisiones.aspx",403,5483,"ceeb2499f2afc45c3d2ec47b0b79d64b","camara comisiones"
13,"2026-08-13T22:29:36","GET","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx",403,5483,"d5dbdc7673d156008548fc488d557c4d","camara comisiones permanentes"
14,"2026-08-13T22:29:36","GET","https://www.senado.cl/comisiones",404,149778,"f09b912cfd8c502a44167fdfde307bab","senado comisiones"
